Rank,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Mikal Bridges,25,PHO,SF,82,82,2854,14.4,.627,.364,.183,2.9,10.0,6.5,8.7,1.6,1.1,6.8,15.0,5.2,3.7,8.9,.150,0.5,1.1,1.6,2.6,DPOY-2DEF1,bridgmi01
2,Miles Bridges,23,CHO,PF,80,80,2837,17.9,.593,.383,.274,3.3,17.8,10.4,15.7,1.3,2.2,9.9,22.6,5.0,2.3,7.2,.123,1.8,-0.3,1.5,2.5,,bridgmi02
3,DeMar DeRozan,32,CHI,PF,76,76,2743,23.1,.590,.093,.386,2.3,13.7,8.0,23.3,1.2,0.8,9.2,31.8,7.0,1.8,8.8,.154,3.4,-0.9,2.5,3.1,MVP-10ASNBA2,derozde01
4,Jayson Tatum,23,BOS,SF,76,76,2731,21.8,.578,.416,.300,3.5,20.2,12.1,21.1,1.4,1.6,10.9,32.1,5.0,4.6,9.6,.169,4.3,0.6,5.0,4.8,MVP-6ASNBA1,tatumja01
5,Saddiq Bey,22,DET,SF,82,82,2704,14.0,.529,.537,.224,4.1,14.1,8.8,13.8,1.3,0.5,7.1,21.3,2.4,1.6,4.0,.071,0.9,-1.2,-0.3,1.2,,beysa01
6,Tyrese Haliburton,21,2TM,PG,77,77,2695,18.2,.595,.428,.209,2.5,10.3,6.3,34.1,2.4,1.6,16.7,19.0,5.2,1.8,7.0,.125,2.7,-0.1,2.6,3.1,,halibty01
7,Russell Westbrook,33,LAL,PG,78,78,2678,15.0,.512,.215,.324,4.4,18.8,11.6,31.6,1.3,0.7,17.3,27.3,-0.6,2.3,1.7,.030,-0.7,-0.9,-1.6,0.2,,westbru01
8,Trae Young,23,ATL,PG,76,76,2652,25.4,.603,.395,.358,2.1,9.6,5.9,46.7,1.3,0.2,14.5,34.4,9.0,1.0,10.0,.181,7.1,-2.0,5.2,4.8,ASNBA3,youngtr01
9,Tyrese Maxey,21,PHI,PG,75,74,2650,16.2,.594,.311,.247,1.1,8.9,5.1,19.1,1.0,1.1,7.4,20.2,5.4,1.9,7.3,.132,1.3,-0.7,0.6,1.8,,maxeyty01
10,Dorian Finney-Smith,28,DAL,PF,80,80,2644,12.5,.604,.629,.120,5.1,10.7,7.9,8.2,1.7,1.3,9.9,13.8,3.4,3.2,6.6,.121,0.1,0.7,0.8,1.9,,finnedo01
11,Scottie Barnes,20,TOR,PF,74,74,2617,16.3,.552,.207,.231,7.7,15.8,11.5,14.7,1.5,2.1,11.7,19.0,3.7,2.9,6.6,.122,0.5,0.4,0.9,1.9,ROY-1,barnesc01
12,Harrison Barnes,29,SAC,PF,77,77,2587,15.7,.623,.432,.495,3.4,14.9,9.1,10.5,1.0,0.5,10.4,18.8,5.0,1.0,6.0,.112,1.5,-1.3,0.2,1.4,,barneha02
13,Pascal Siakam,27,TOR,PF,68,68,2578,20.3,.565,.181,.314,5.1,20.1,12.2,23.0,1.6,1.6,11.6,25.8,4.9,3.2,8.1,.151,2.7,0.8,3.5,3.6,NBA3,siakapa01
14,Julius Randle,27,NYK,PF,72,72,2544,15.7,.509,.313,.322,5.2,25.5,15.1,25.1,1.0,1.5,14.7,28.7,-0.3,3.4,3.1,.059,0.4,0.2,0.5,1.6,,randlju01
15,Tobias Harris,29,PHI,PF,73,73,2543,15.9,.566,.269,.198,3.4,18.1,10.9,15.9,0.9,1.5,9.5,21.7,3.0,2.6,5.6,.105,0.6,-0.6,0.0,1.3,,harrito02
16,Jalen Brunson,25,DAL,SG,79,61,2524,17.1,.583,.250,.211,1.9,11.7,6.8,24.3,1.3,0.1,10.1,21.9,4.9,2.7,7.5,.143,0.9,0.0,0.9,1.9,,brunsja01
17,Buddy Hield,29,2TM,SG,81,32,2499,12.9,.548,.652,.116,2.9,12.8,7.8,13.8,1.4,0.9,11.7,22.4,0.8,1.1,1.9,.036,0.5,-1.7,-1.2,0.5,,hieldbu01
18,Nikola Jokić,26,DEN,C,74,74,2476,32.8,.661,.220,.357,9.6,35.5,23.0,42.6,2.2,2.3,15.6,31.9,10.8,4.5,15.2,.296,9.2,4.5,13.7,9.8,MVP-1ASNBA1,jokicni01
19,Karl-Anthony Towns,26,MIN,C,74,74,2476,24.1,.640,.301,.385,8.2,23.6,15.7,18.0,1.4,3.2,13.7,27.8,7.1,3.2,10.3,.199,4.5,0.5,5.0,4.4,ASNBA3,townska01
20,Anthony Edwards,20,MIN,SG,72,72,2466,16.5,.560,.484,.225,2.6,12.5,7.5,17.4,2.0,1.8,12.2,26.4,1.8,2.4,4.3,.084,1.6,-0.4,1.2,2.0,,edwaran01
21,Fred VanVleet,27,TOR,PG,65,65,2462,17.3,.552,.585,.202,1.8,11.4,6.4,26.7,2.3,1.4,12.5,23.7,3.9,2.8,6.7,.131,3.1,0.5,3.6,3.5,AS,vanvlfr01
22,Terry Rozier,27,CHO,SG,73,73,2458,17.6,.566,.508,.151,2.4,11.3,6.8,19.7,1.8,1.0,7.2,23.2,4.3,1.6,5.9,.115,2.4,-0.7,1.7,2.3,,roziete01
23,Gary Trent Jr.,23,TOR,SG,70,69,2448,14.7,.546,.502,.188,1.1,7.7,4.2,8.8,2.5,0.8,5.8,21.8,3.1,2.5,5.6,.110,-0.1,0.3,0.2,1.3,,trentga02
24,Darius Garland,22,CLE,PG,68,68,2430,19.0,.576,.387,.205,1.8,8.2,5.1,39.9,1.8,0.3,16.2,27.8,3.8,2.5,6.3,.125,3.4,-0.8,2.6,2.8,AS,garlada01
25,Franz Wagner,20,ORL,SF,79,79,2429,14.7,.559,.278,.225,3.6,11.9,7.7,15.7,1.4,1.3,10.0,21.2,2.1,1.9,4.0,.079,-0.4,-0.3,-0.7,0.8,ROY-5,wagnefr01
26,LaMelo Ball,20,CHO,PG,75,75,2422,19.7,.554,.451,.194,4.7,17.4,11.0,35.7,2.4,1.2,15.3,28.2,3.4,2.5,5.8,.116,3.3,0.1,3.4,3.3,AS,ballla01
27,James Harden,32,2TM,PG,65,65,2419,20.9,.583,.452,.540,2.6,19.7,11.3,40.3,1.7,1.3,18.8,27.2,4.9,2.7,7.6,.152,3.7,0.3,4.0,3.7,AS,hardeja01
28,Nikola Vučević,31,CHI,C,73,73,2418,18.2,.533,.287,.105,6.6,30.7,18.7,15.2,1.4,2.5,10.1,24.5,1.4,3.2,4.5,.090,0.8,0.1,0.9,1.8,,vucevni01
29,RJ Barrett,21,NYK,SF,70,70,2417,13.7,.511,.338,.340,2.9,15.5,9.1,14.9,0.9,0.7,9.9,27.6,0.1,2.2,2.3,.046,-0.3,-1.3,-1.6,0.2,,barrerj01
30,Royce O'Neale,28,UTA,SF,77,77,2406,10.3,.608,.689,.126,3.0,13.4,8.4,10.5,1.8,1.2,14.4,9.9,2.7,2.8,5.5,.109,-0.8,1.7,0.8,1.7,,onealro01
31,Keldon Johnson,22,SAS,SF,75,74,2392,15.2,.574,.395,.231,3.5,16.7,10.0,9.5,1.2,0.5,7.6,21.3,2.9,2.0,4.9,.099,0.7,-1.2,-0.5,0.9,,johnske04
32,Aaron Gordon,26,DEN,PF,75,75,2376,15.3,.602,.312,.276,6.1,14.3,10.3,11.6,0.9,1.7,12.5,19.7,3.2,2.0,5.2,.105,0.5,-1.1,-0.6,0.9,,gordoaa01
33,Dejounte Murray,25,SAS,PG,68,68,2366,22.3,.533,.237,.199,3.5,21.6,12.5,40.6,2.8,0.8,11.8,27.3,3.9,3.4,7.3,.149,3.7,1.7,5.4,4.4,AS,murrade01
34,Evan Fournier,29,NYK,SG,80,80,2358,12.3,.554,.641,.117,1.5,8.2,4.8,11.9,1.7,0.8,9.4,20.8,1.5,2.2,3.7,.075,-0.4,-0.3,-0.7,0.7,,fournev01
35,Patty Mills,33,BRK,SG,81,48,2346,10.4,.563,.715,.074,0.9,6.2,3.6,10.6,1.1,0.6,8.2,16.4,1.9,0.9,2.8,.058,-0.3,-1.4,-1.7,0.2,,millspa02
36,Devin Booker,25,PHO,SG,68,68,2345,21.3,.576,.336,.255,2.1,13.2,7.8,22.4,1.6,1.0,9.3,32.0,4.3,3.3,7.6,.156,3.9,0.2,4.1,3.6,MVP-4ASNBA1,bookede01
37,Reggie Jackson,31,LAC,SG,75,75,2337,12.1,.488,.419,.133,1.8,10.2,6.1,24.6,1.2,0.5,11.8,27.6,-1.7,2.0,0.4,.008,-1.4,-1.6,-3.0,-0.6,,jacksre01
38,Herbert Jones,23,NOP,PF,78,69,2335,12.3,.573,.293,.283,4.5,9.6,7.0,10.0,2.7,2.5,13.4,13.7,2.1,2.5,4.6,.096,-2.0,1.5,-0.5,0.9,ROY-6,joneshe01
39,Evan Mobley,20,CLE,PF,69,69,2331,16.1,.549,.111,.304,6.9,19.8,13.5,11.6,1.2,4.4,12.4,20.4,1.5,3.7,5.2,.107,-0.9,1.5,0.6,1.5,ROY-2,mobleev01
40,Kentavious Caldwell-Pope,28,WAS,SG,77,77,2329,12.6,.568,.492,.186,2.0,10.3,6.2,9.1,1.8,0.9,9.8,19.0,1.4,1.4,2.8,.058,-0.9,-0.6,-1.5,0.3,,caldwke01
41,Andrew Wiggins,26,GSW,SF,73,73,2329,15.0,.560,.392,.231,4.1,10.9,7.6,10.8,1.6,2.1,9.0,23.1,1.8,3.4,5.1,.105,0.3,0.1,0.4,1.4,AS,wiggian01
42,Zach LaVine,26,CHI,SG,67,67,2328,20.0,.605,.401,.316,1.1,13.8,7.4,20.8,0.9,0.9,11.2,28.8,4.5,1.3,5.8,.120,3.9,-1.5,2.4,2.6,AS,lavinza01
43,Alec Burks,30,NYK,SG,81,44,2318,13.7,.559,.534,.363,2.1,16.6,9.2,15.7,1.8,1.1,9.7,17.7,3.2,2.9,6.1,.126,-0.4,1.2,0.8,1.7,,burksal01
44,Terance Mann,25,LAC,SF,81,33,2317,13.4,.572,.301,.238,4.9,14.3,9.7,13.1,1.2,0.8,9.9,16.0,3.1,2.4,5.5,.113,-0.8,0.2,-0.6,0.8,,mannte01
45,Luka Dončić,22,DAL,PG,65,65,2301,25.1,.571,.406,.349,2.7,26.0,14.3,46.0,1.6,1.4,15.3,37.4,3.8,3.8,7.6,.159,6.4,1.8,8.2,5.9,MVP-5ASNBA1,doncilu01
46,Joel Embiid,27,PHI,C,68,68,2297,31.2,.616,.188,.602,7.2,31.1,19.4,23.5,1.7,3.9,11.3,37.2,7.9,4.1,12.0,.252,7.2,2.0,9.2,6.5,MVP-2ASNBA2,embiijo01
47,Marcus Smart,27,BOS,PG,71,71,2296,13.6,.540,.501,.249,2.0,10.5,6.4,25.6,2.6,0.7,16.6,18.3,1.9,3.7,5.6,.116,-1.2,1.7,0.5,1.5,DPOY-1DEF1,smartma01
48,Jordan Poole,22,GSW,SG,76,51,2283,16.1,.598,.548,.251,1.7,10.5,6.2,21.0,1.3,1.0,13.7,26.0,3.1,2.9,6.0,.126,1.3,-0.3,1.0,1.7,,poolejo01
49,Will Barton,31,DEN,SG,71,71,2277,13.4,.548,.480,.142,2.2,14.1,8.3,17.6,1.2,1.2,11.8,20.8,1.2,1.9,3.2,.067,0.4,-0.9,-0.5,0.9,,bartowi01
50,Desmond Bane,23,MEM,SG,76,76,2266,17.6,.592,.475,.141,2.1,13.6,7.7,13.5,1.9,1.1,8.7,23.1,4.5,2.7,7.2,.153,2.5,0.3,2.7,2.7,,banede01
51,Donovan Mitchell,25,UTA,SG,67,67,2266,21.6,.572,.475,.227,2.7,10.6,6.8,27.7,2.2,0.5,11.7,32.9,4.7,2.5,7.2,.152,4.6,-0.3,4.3,3.6,AS,mitchdo01
52,Jonas Valančiūnas,29,NOP,C,74,74,2240,21.2,.617,.168,.308,10.9,31.2,20.8,14.0,0.9,2.6,14.4,23.8,4.6,2.7,7.3,.156,2.0,-0.1,1.9,2.2,,valanjo01
53,Monte Morris,26,DEN,PG,75,74,2239,14.7,.583,.406,.109,1.4,9.6,5.6,21.4,1.2,0.6,8.8,17.4,3.9,1.5,5.4,.116,0.8,-0.8,0.0,1.1,,morrimo01
54,Jaylen Brown,25,BOS,SF,66,66,2220,18.9,.574,.381,.261,2.6,16.7,9.8,17.9,1.6,0.7,11.6,30.5,2.3,3.4,5.8,.124,1.9,0.1,2.1,2.2,,brownja02
55,Stephen Curry,33,GSW,PG,64,64,2211,21.4,.601,.613,.243,1.7,14.4,8.3,30.4,1.9,1.0,13.2,30.8,4.6,3.4,8.0,.173,5.4,0.4,5.8,4.4,MVP-8ASNBA2,curryst01
56,Jrue Holiday,31,MIL,PG,67,64,2207,19.8,.593,.336,.189,3.4,10.9,7.2,31.8,2.4,1.3,15.0,23.5,4.5,2.4,6.9,.150,2.9,0.3,3.2,2.9,DPOY-8DEF2,holidjr01
57,Giannis Antetokounmpo,27,MIL,PF,67,67,2204,32.1,.633,.194,.615,6.6,30.4,18.7,31.7,1.6,4.0,12.2,34.9,9.2,3.7,12.9,.281,7.6,3.5,11.2,7.4,MVP-3DPOY-6ASNBA1DEF1,antetgi01
58,Kyle Kuzma,26,WAS,PF,66,66,2204,15.2,.547,.401,.234,3.6,24.3,14.1,16.3,0.9,2.2,14.1,24.2,0.0,2.0,2.0,.044,0.2,-0.4,-0.2,1.0,,kuzmaky01
59,Derrick White,27,2TM,SG,75,52,2199,14.8,.549,.461,.294,1.8,10.7,6.3,22.9,1.4,2.3,11.6,19.9,2.8,2.3,5.1,.111,0.4,0.6,0.9,1.6,,whitede01
60,Kevin Huerter,23,ATL,SF,74,60,2188,11.9,.570,.541,.068,1.6,11.0,6.4,13.2,1.2,1.1,10.4,17.5,1.8,1.0,2.8,.062,-0.5,-0.7,-1.2,0.4,,huertke01
61,Devonte' Graham,26,NOP,PG,76,63,2162,12.1,.514,.691,.172,1.9,7.3,4.5,21.0,1.6,0.5,10.7,19.5,1.6,1.2,2.8,.062,0.2,-1.2,-1.0,0.5,,grahade01
62,Tyler Herro,22,MIA,SG,66,10,2151,16.2,.561,.391,.195,1.7,15.4,8.7,20.9,1.0,0.4,12.5,28.8,1.3,2.4,3.8,.084,1.6,-0.9,0.7,1.5,6MOY-1,herroty01
63,CJ McCollum,30,2TM,PG,62,62,2145,18.3,.553,.403,.146,2.6,11.5,6.9,26.1,1.6,1.0,9.3,27.5,2.6,1.0,3.6,.081,3.2,-1.3,1.9,2.1,,mccolcj01
64,Jordan Clarkson,29,UTA,SG,79,1,2141,14.9,.532,.536,.156,3.5,10.2,7.0,14.5,1.5,0.7,9.8,26.8,1.5,2.0,3.5,.079,0.5,-1.2,-0.6,0.7,6MOY-4,clarkjo01
65,Khris Middleton,30,MIL,SF,66,66,2141,18.1,.577,.425,.285,2.1,15.3,8.8,25.5,1.7,0.8,14.2,26.7,3.2,2.2,5.3,.119,1.9,-0.3,1.6,1.9,AS,middlkh01
66,Malik Monk,23,LAL,SG,76,37,2139,14.4,.597,.535,.142,1.9,11.0,6.4,15.2,1.4,1.2,12.2,20.1,2.3,1.4,3.6,.081,0.5,-1.0,-0.5,0.8,,monkma01
67,Chris Paul,36,PHO,PG,65,65,2139,20.8,.581,.270,.274,1.1,12.8,7.1,44.5,2.7,0.8,15.6,19.7,5.8,3.6,9.4,.210,3.1,2.3,5.4,4.0,MVP-9ASNBA3,paulch01
68,Jalen Green,19,HOU,SG,67,67,2138,12.5,.547,.480,.247,1.7,10.0,5.8,13.1,1.0,0.8,11.3,23.7,0.5,0.2,0.7,.015,-0.5,-2.4,-2.9,-0.5,ROY-4,greenja05
69,Domantas Sabonis,25,2TM,PF,62,61,2136,21.9,.637,.162,.429,10.3,29.0,19.5,23.6,1.3,1.1,17.5,22.3,5.3,1.8,7.1,.159,3.2,0.9,4.1,3.2,,sabondo01
70,Seth Curry,31,2TM,SG,64,64,2135,13.7,.615,.506,.127,1.1,9.1,5.2,16.3,1.2,0.6,12.3,18.5,2.7,1.5,4.2,.095,0.3,-0.9,-0.6,0.8,,curryse01
71,Kyle Lowry,35,MIA,PG,63,63,2133,15.0,.600,.609,.278,1.8,13.0,7.5,32.3,1.6,0.8,19.3,18.2,3.7,2.7,6.4,.143,1.1,0.8,2.0,2.1,,lowryky01
72,Bojan Bogdanović,32,UTA,PF,69,69,2131,15.7,.599,.504,.280,3.1,11.8,7.6,8.7,0.8,0.0,10.2,23.7,3.6,1.6,5.2,.118,1.6,-1.6,0.0,1.1,,bogdabo02
73,Jaren Jackson Jr.,22,MEM,PF,78,78,2126,17.0,.535,.387,.333,5.7,16.9,11.2,5.8,1.6,7.4,9.9,25.4,1.7,3.7,5.4,.121,-0.9,0.8,-0.1,1.0,DPOY-5DEF1,jacksja02
74,Rudy Gobert,29,UTA,C,66,66,2120,24.7,.732,.008,.864,12.9,36.3,25.0,5.1,1.0,5.7,14.5,16.9,7.3,4.3,11.7,.264,2.9,1.7,4.6,3.6,DPOY-3ASDEF1,goberru01
75,Ayo Dosunmu,22,CHI,SG,77,40,2110,11.2,.596,.348,.146,1.4,9.9,5.7,16.5,1.4,1.2,15.9,14.1,1.7,1.3,3.0,.069,-1.9,-0.1,-2.0,0.0,,dosunay01
76,Christian Wood,26,HOU,C,68,67,2094,19.1,.595,.383,.378,5.7,30.4,18.0,12.2,1.2,2.8,11.0,23.3,2.9,2.0,4.9,.112,2.1,-0.4,1.6,1.9,,woodch01
77,Cade Cunningham,20,DET,SG,64,64,2088,13.1,.504,.352,.163,2.9,16.2,9.2,29.1,1.8,1.9,17.5,27.5,-2.4,1.9,-0.5,-0.011,-1.1,-0.5,-1.6,0.2,ROY-3,cunnica01
78,LeBron James,37,LAL,C,56,56,2084,26.2,.619,.367,.275,3.3,20.4,11.8,30.6,1.7,2.5,12.5,32.3,5.2,2.3,7.5,.172,6.9,0.8,7.7,5.1,MVP-10ASNBA3,jamesle01
79,De'Aaron Fox,24,SAC,PG,59,59,2083,17.4,.549,.228,.319,1.3,10.9,6.0,26.8,1.6,1.0,11.9,29.1,1.5,1.0,2.5,.058,0.6,-1.2,-0.6,0.7,,foxde01
80,D'Angelo Russell,25,MIN,PG,65,65,2077,16.3,.544,.531,.246,1.3,10.1,5.6,33.1,1.4,1.0,13.2,25.1,2.9,1.5,4.4,.101,2.2,-1.5,0.8,1.4,,russeda01
81,Davion Mitchell,23,SAC,PG,75,19,2076,10.8,.489,.380,.101,1.7,7.0,4.4,22.5,1.3,1.0,11.5,20.6,-0.5,0.6,0.1,.003,-2.1,-1.7,-3.8,-0.9,,mitchda01
82,Cole Anthony,21,ORL,PG,65,65,2059,13.5,.519,.429,.277,1.6,16.2,8.9,28.9,1.1,0.8,14.2,25.1,-0.1,1.7,1.6,.038,-0.6,-0.6,-1.2,0.4,,anthoco01
83,Mike Conley,34,UTA,PG,72,72,2058,17.2,.572,.523,.205,2.6,8.8,5.8,27.7,2.3,0.9,12.5,20.9,4.4,2.3,6.7,.157,2.4,0.7,3.1,2.7,,conlemi01
84,Justin Holiday,32,2TM,SF,74,65,2057,9.5,.543,.728,.094,1.5,8.8,5.1,8.6,1.3,1.4,9.2,15.8,0.8,0.6,1.4,.033,-1.4,-0.8,-2.2,-0.1,,holidju01
85,Jae'Sean Tate,26,HOU,PF,78,77,2056,14.3,.567,.277,.252,7.2,15.3,11.2,16.9,1.7,1.8,14.6,19.6,1.9,1.1,3.0,.071,-1.3,-0.5,-1.8,0.1,,tateja01
86,Kevin Durant,33,BRK,PF,55,55,2047,25.6,.634,.269,.367,1.6,19.6,10.8,29.1,1.1,2.3,12.9,31.2,6.4,2.0,8.4,.198,6.4,0.7,7.2,4.8,MVP-10ASNBA2,duranke01
87,Duncan Robinson,27,MIA,SG,79,68,2043,10.6,.573,.860,.084,1.4,9.8,5.6,9.3,1.0,0.7,7.4,17.7,1.9,2.0,3.9,.092,-0.3,-0.3,-0.6,0.7,,robindu01
88,Clint Capela,27,ATL,C,74,73,2042,21.4,.604,.002,.280,15.0,31.9,23.5,6.6,1.3,4.1,6.1,15.5,5.6,2.7,8.3,.195,2.1,-0.1,2.0,2.1,,capelca01
89,Bobby Portis,26,MIL,C,72,59,2028,17.7,.571,.388,.130,9.6,24.4,17.2,6.4,1.3,2.4,8.9,21.3,2.9,2.6,5.5,.131,1.2,-1.0,0.2,1.1,,portibo01
90,Al Horford,35,BOS,C,69,69,2005,16.7,.574,.466,.167,6.0,22.2,14.3,16.4,1.2,4.2,9.6,14.8,3.7,3.8,7.6,.181,1.4,2.9,4.3,3.2,DPOY-9,horfoal01
91,Steven Adams,28,MEM,C,76,75,1999,17.6,.560,.003,.518,17.9,22.0,19.9,16.1,1.6,2.7,19.6,12.0,3.8,3.0,6.8,.163,1.0,1.0,2.0,2.0,,adamsst01
92,Kelly Oubre Jr.,26,CHO,SF,76,13,1999,14.9,.560,.593,.203,4.1,12.0,8.0,6.2,1.8,1.5,6.2,23.0,1.8,1.4,3.3,.079,0.2,-1.6,-1.4,0.3,6MOY-7,oubreke01
93,Deni Avdija,21,WAS,SF,82,8,1984,11.6,.536,.447,.235,3.0,20.5,11.9,11.8,1.5,1.9,12.0,16.3,0.6,1.8,2.4,.058,-2.1,0.4,-1.7,0.1,,avdijde01
94,P.J. Tucker,36,MIA,PF,71,70,1981,11.3,.593,.451,.143,5.8,16.2,11.1,10.6,1.5,0.8,12.7,11.7,2.4,2.6,5.0,.121,-0.8,1.4,0.6,1.3,,tuckepj01
95,Isaac Okoro,21,CLE,SF,67,61,1981,10.4,.589,.364,.360,4.1,7.1,5.6,8.5,1.4,1.0,10.4,12.4,2.4,1.9,4.2,.103,-2.4,0.7,-1.7,0.1,,okorois01
96,Spencer Dinwiddie,28,2TM,PG,67,51,1980,15.1,.543,.449,.343,2.6,13.0,7.8,25.7,1.1,0.6,10.9,21.4,2.7,1.4,4.1,.098,0.8,-0.4,0.3,1.1,,dinwisp01
97,Malik Beasley,25,MIN,SG,79,18,1976,11.9,.544,.749,.071,1.4,11.2,6.2,8.5,1.0,0.6,4.7,19.4,1.7,1.2,2.9,.069,0.7,-1.5,-0.7,0.7,,beaslma01
98,Jakob Poeltl,26,SAS,C,68,67,1970,20.8,.613,.002,.287,13.9,20.0,16.9,14.0,1.1,5.0,12.7,18.3,4.4,2.5,6.9,.168,0.9,0.7,1.6,1.7,,poeltja01
99,Shai Gilgeous-Alexander,23,OKC,PG,56,56,1942,20.9,.557,.282,.385,1.9,13.0,7.4,31.1,1.8,2.2,11.1,30.8,2.8,1.8,4.6,.113,2.9,0.5,3.4,2.7,,gilgesh01
100,Robert Covington,31,2TM,PF,71,42,1940,12.4,.572,.681,.139,3.3,18.9,11.0,6.8,2.6,4.4,12.4,13.5,0.8,2.4,3.2,.080,-1.6,1.7,0.2,1.1,,covinro01
101,Devin Vassell,21,SAS,SF,71,32,1937,13.3,.540,.497,.130,2.4,14.3,8.3,9.7,1.9,1.8,6.7,18.9,1.3,2.0,3.3,.082,-0.5,0.0,-0.5,0.7,,vassede01
102,Jimmy Butler,32,MIA,SF,57,57,1931,23.6,.592,.140,.549,6.1,13.5,9.9,26.4,2.4,1.5,10.5,26.5,6.2,2.9,9.2,.228,4.5,1.9,6.3,4.0,AS,butleji01
103,Darius Bazley,21,OKC,PF,69,53,1924,12.6,.515,.414,.262,3.7,19.8,11.6,7.7,1.5,3.4,11.1,18.3,-0.5,2.2,1.8,.044,-2.1,0.3,-1.8,0.1,,bazleda01
104,Luke Kennard,25,LAC,SG,70,13,1919,13.3,.619,.662,.121,1.1,11.2,6.3,11.2,1.1,0.3,8.2,16.8,2.8,1.7,4.5,.113,0.8,-0.3,0.5,1.2,6MOY-5,kennalu01
105,Kevin Porter Jr.,21,HOU,PG,61,61,1907,13.5,.531,.511,.239,2.5,13.0,7.7,30.7,1.7,1.0,17.7,24.1,0.0,0.8,0.8,.021,-0.1,-1.6,-1.6,0.2,,porteke02
106,Reggie Bullock,30,DAL,SF,68,37,1902,9.2,.558,.782,.096,1.9,12.2,7.0,6.1,1.1,0.7,7.1,13.3,1.2,2.0,3.2,.080,-1.4,0.0,-1.4,0.3,,bullore01
107,Ja Morant,22,MEM,PG,57,57,1889,24.4,.575,.218,.353,4.2,14.1,9.0,34.1,1.7,1.0,12.6,33.7,4.6,2.1,6.7,.171,6.2,-0.1,6.1,3.9,MVP-7MIP-1ASNBA2,moranja01
108,Jae Crowder,31,PHO,PF,67,67,1886,11.3,.541,.671,.165,1.8,18.0,10.1,8.3,2.4,1.4,8.6,14.6,0.9,3.4,4.3,.110,-1.3,2.4,1.1,1.5,,crowdja01
109,Jarred Vanderbilt,22,MIN,PF,74,67,1880,15.3,.612,.039,.363,12.0,23.9,17.8,6.7,2.5,2.4,14.8,10.9,3.1,2.9,6.0,.153,-0.8,1.0,0.2,1.1,,vandeja01
110,Lauri Markkanen,24,CLE,SF,61,61,1878,14.7,.582,.541,.226,3.5,16.5,10.2,6.6,1.2,1.4,6.5,19.5,2.7,2.3,5.0,.127,0.4,-0.1,0.4,1.1,,markkla01
111,Grant Williams,23,BOS,PF,77,21,1875,11.2,.635,.597,.220,3.8,11.8,7.9,5.7,1.0,2.8,11.6,12.6,2.4,2.6,5.1,.130,-1.4,1.1,-0.4,0.8,,willigr01
112,Brandon Ingram,24,NOP,SF,55,55,1869,18.7,.554,.230,.328,2.0,17.3,9.5,27.8,0.9,1.3,11.8,29.3,2.5,1.3,3.9,.099,2.6,-0.6,2.0,1.9,,ingrabr01
113,Cody Martin,26,CHO,SF,71,11,1866,12.7,.579,.376,.253,4.6,11.7,8.1,12.4,2.3,1.6,11.5,12.1,2.4,1.5,3.9,.101,-1.2,0.7,-0.5,0.7,,martico01
114,Ivica Zubac,24,LAC,C,76,76,1852,19.2,.660,.000,.459,12.8,23.7,18.4,9.8,1.0,3.5,16.1,16.8,4.3,2.9,7.2,.187,-0.1,0.8,0.7,1.3,,zubaciv01
115,Wendell Carter Jr.,22,ORL,PF,62,61,1852,18.4,.601,.313,.303,7.9,29.1,18.5,15.4,0.9,2.1,13.1,20.9,2.6,2.4,5.0,.129,1.0,0.6,1.6,1.7,,cartewe01
116,Jeff Green,35,DEN,PF,75,63,1849,12.5,.627,.318,.374,2.6,11.1,7.0,7.3,0.7,1.3,10.3,16.3,2.7,1.2,3.9,.101,-1.2,-1.3,-2.5,-0.2,,greenje02
117,Mitchell Robinson,23,NYK,C,72,62,1848,20.7,.722,.000,.528,16.8,19.1,17.9,3.2,1.6,7.1,12.4,11.4,5.3,3.2,8.5,.221,1.0,1.2,2.2,2.0,,robinmi01
118,Bogdan Bogdanović,29,ATL,SG,63,27,1848,15.4,.562,.578,.145,1.7,13.0,7.4,15.5,1.8,0.7,7.7,21.6,2.5,1.2,3.7,.095,1.5,-0.2,1.3,1.5,6MOY-6,bogdabo01
119,Dennis Schröder,28,2TM,PG,64,29,1837,13.0,.539,.345,.254,2.0,10.5,6.3,24.2,1.4,0.4,15.1,22.6,1.0,1.9,2.9,.076,-1.5,-0.4,-1.9,0.0,,schrode01
120,Bam Adebayo,24,MIA,C,56,56,1825,21.8,.608,.008,.466,8.7,26.1,17.5,17.5,2.2,2.6,14.4,25.0,3.6,3.5,7.2,.188,1.7,2.1,3.8,2.7,DPOY-4DEF2,adebaba01
121,Mo Bamba,23,ORL,C,71,69,1824,16.5,.582,.455,.118,8.5,24.6,16.5,7.4,1.0,5.9,10.6,17.2,1.8,2.7,4.5,.118,-0.2,0.9,0.7,1.2,,bambamo01
122,Isaiah Stewart,20,DET,C,71,71,1816,14.0,.550,.094,.210,12.8,24.5,18.4,6.9,0.6,3.9,13.7,14.6,1.6,1.8,3.4,.091,-2.5,-0.8,-3.3,-0.6,,stewais01
