Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
11,Christian Braun,23,DEN,SG,79,77,2675,8.6,14.8,.580,1.6,4.0,.397,7.0,10.7,.648,.634,3.2,3.8,.827,1.8,5.6,7.4,3.7,1.5,0.7,1.5,3.1,21.9,133,118,,braunch01
12,Bam Adebayo,27,MIA,C,78,78,2674,10.1,20.8,.485,1.5,4.1,.357,8.6,16.6,.517,.521,4.7,6.1,.765,3.5,10.5,14.0,6.3,1.8,1.0,3.0,3.0,26.3,115,110,DPOY-10,adebaba01
13,Ivica Zubac,27,LAC,C,80,80,2624,11.1,17.7,.628,0.0,0.0,,11.1,17.7,.628,.628,2.9,4.4,.661,5.6,13.3,19.0,4.0,1.0,1.7,2.4,3.2,25.1,129,108,DPOY-6DEF2,zubaciv01
14,Jayson Tatum,26,BOS,PF,72,72,2624,12.7,28.0,.452,4.8,13.9,.343,7.9,14.1,.559,.537,6.8,8.4,.814,0.9,11.0,11.9,8.2,1.5,0.7,4.0,3.0,36.9,117,110,MVP-4CPOY-10ASNBA1,tatumja01
15,Jaden McDaniels,24,MIN,PF,82,82,2614,7.5,15.7,.477,1.9,5.7,.330,5.6,10.0,.561,.537,2.0,2.4,.813,2.4,6.4,8.9,3.1,2.1,1.4,1.8,4.2,18.9,115,110,,mcdanja02
16,Keegan Murray,24,SAC,PF,76,76,2610,6.8,15.4,.444,2.9,8.4,.343,3.9,7.0,.566,.538,1.1,1.3,.833,2.7,6.8,9.5,2.0,1.1,1.3,1.1,3.5,17.7,116,117,,murrake02
17,Zach LaVine,29,2TM,SG,74,74,2602,11.4,22.4,.511,4.4,9.8,.446,7.1,12.6,.562,.609,4.3,5.2,.825,0.4,5.4,5.8,5.7,1.1,0.2,3.8,2.2,31.6,116,119,,lavinza01
18,Shai Gilgeous-Alexander,26,OKC,PG,76,76,2598,15.9,30.6,.519,3.0,8.0,.375,12.9,22.6,.571,.569,11.1,12.4,.898,1.2,5.8,7.0,9.0,2.4,1.4,3.4,3.0,45.9,129,107,MVP-1DPOY-10CPOY-8ASNBA1,gilgesh01
19,Michael Porter Jr.,26,DEN,SF,77,77,2593,9.8,19.4,.504,3.6,9.1,.395,6.2,10.4,.599,.596,2.8,3.6,.768,2.6,7.5,10.0,3.1,0.9,0.7,1.9,2.9,25.9,122,118,,portemi01
20,Derrick White,30,BOS,SG,76,76,2574,8.3,18.7,.442,5.2,13.5,.384,3.1,5.2,.593,.580,2.6,3.1,.839,1.3,5.3,6.6,7.0,1.4,1.6,2.6,2.7,24.3,123,112,DPOY-10,whitede01
21,Dyson Daniels,21,ATL,SG,76,76,2571,8.3,16.8,.493,1.5,4.3,.340,6.8,12.5,.545,.536,1.5,2.5,.593,2.3,5.9,8.2,6.1,4.2,1.0,2.8,3.2,19.5,110,111,DPOY-2MIP-1DEF1,daniedy01
22,Nikola Jokić,29,DEN,C,70,70,2571,14.7,25.5,.576,2.6,6.2,.417,12.1,19.3,.627,.627,6.8,8.4,.800,3.7,12.9,16.7,13.4,2.4,0.8,4.3,3.0,38.7,133,111,MVP-2CPOY-2ASNBA1,jokicni01
23,Austin Reaves,26,LAL,SG,73,73,2550,9.2,20.0,.460,3.9,10.2,.377,5.3,9.8,.547,.556,6.2,7.1,.877,1.2,5.2,6.3,8.1,1.6,0.4,3.4,2.9,28.5,122,117,,reaveau01
24,Toumani Camara,24,POR,PF,78,78,2548,6.3,13.7,.458,2.6,6.9,.375,3.7,6.8,.542,.552,1.7,2.4,.722,3.3,5.3,8.6,3.3,2.2,1.0,2.1,4.4,16.8,117,115,DPOY-9DEF2,camarto01
25,Pascal Siakam,30,IND,PF,78,78,2548,11.6,22.3,.519,2.4,6.1,.389,9.2,16.2,.568,.572,4.3,5.8,.734,2.5,7.7,10.2,5.0,1.3,0.8,2.1,3.6,29.8,120,115,AS,siakapa01
26,Brook Lopez,36,MIL,C,80,80,2546,7.5,14.7,.509,2.6,7.1,.373,4.8,7.6,.636,.599,2.2,2.6,.826,2.1,5.5,7.6,2.7,0.9,2.8,1.6,3.2,19.8,122,114,,lopezbr01
27,Karl-Anthony Towns,29,NYK,C,72,72,2517,12.6,24.0,.526,2.8,6.7,.420,9.8,17.3,.567,.584,6.7,8.1,.829,4.2,14.0,18.1,4.4,1.4,1.0,3.8,4.9,34.7,122,110,ASNBA3,townska01
28,Bub Carrington,19,WAS,PG,82,57,2458,5.8,14.5,.401,2.7,7.9,.339,3.1,6.6,.475,.493,1.3,1.6,.812,0.6,6.0,6.6,7.0,1.0,0.4,2.7,3.7,15.6,104,121,,carrica01
29,Cade Cunningham,23,DET,PG,70,70,2452,13.4,28.6,.469,2.9,8.2,.356,10.5,20.4,.515,.521,6.1,7.3,.846,1.1,7.2,8.3,12.5,1.4,1.0,6.1,3.8,35.9,112,113,MVP-7ASNBA3,cunnica01
30,Tyrese Haliburton,24,IND,PG,73,73,2451,9.3,19.7,.473,4.3,11.0,.388,5.1,8.7,.581,.582,3.7,4.4,.851,0.8,4.2,5.1,13.2,2.1,1.0,2.4,1.8,26.6,131,115,NBA3,halibty01
31,Coby White,24,CHI,SG,74,73,2450,9.7,21.4,.453,4.1,11.1,.370,5.6,10.2,.544,.550,5.3,5.8,.902,0.5,4.7,5.2,6.3,1.3,0.3,3.4,2.9,28.8,114,118,,whiteco01
32,LeBron James,40,LAL,SF,70,70,2444,13.1,25.6,.513,3.0,8.0,.376,10.1,17.6,.574,.571,5.2,6.7,.782,1.4,9.5,11.0,11.6,1.4,0.8,5.2,2.0,34.4,117,114,MVP-6CPOY-7ASNBA2,jamesle01
33,Domantas Sabonis,28,SAC,C,70,70,2429,10.6,18.0,.590,1.3,3.1,.417,9.3,14.8,.627,.627,4.4,5.8,.754,5.4,14.2,19.6,8.5,1.0,0.5,4.1,4.6,26.9,128,114,,sabondo01
34,Jamal Murray,27,DEN,PG,67,67,2418,10.6,22.3,.474,3.1,7.9,.393,7.5,14.4,.518,.543,4.3,4.9,.886,0.9,4.3,5.2,8.0,1.8,0.7,2.7,2.5,28.6,120,118,,murraja01
35,Alperen Şengün,22,HOU,C,76,76,2395,11.5,23.2,.496,0.4,1.8,.233,11.1,21.4,.519,.505,6.0,8.7,.692,5.3,10.7,16.0,7.6,1.7,1.2,3.9,4.2,29.5,116,108,AS,sengual01
36,Dillon Brooks,29,HOU,SF,75,75,2388,7.8,18.2,.429,3.8,9.6,.397,4.0,8.7,.465,.533,2.0,2.5,.818,1.5,4.1,5.6,2.6,1.2,0.3,1.5,4.9,21.5,117,114,,brookdi01
37,Rudy Gobert,32,MIN,C,72,72,2388,7.0,10.5,.669,0.0,0.0,,7.0,10.5,.669,.669,3.8,5.6,.674,5.5,10.7,16.2,2.6,1.2,2.1,1.8,3.8,17.9,138,109,DPOY-13DEF2,goberru01
38,Tobias Harris,32,DET,PF,73,73,2305,8.0,16.8,.477,1.9,5.5,.345,6.1,11.3,.542,.534,3.0,3.5,.861,1.4,7.7,9.0,3.4,1.5,1.2,1.8,2.9,20.9,116,113,,harrito02
39,Darius Garland,25,CLE,PG,75,75,2301,11.6,24.5,.472,4.4,11.1,.401,7.1,13.5,.530,.562,4.7,5.3,.878,1.0,3.5,4.5,10.6,1.9,0.2,4.0,3.0,32.3,121,115,CPOY-6AS,garlada01
40,Jalen Brunson,28,NYK,PG,65,65,2301,12.6,25.9,.488,3.3,8.6,.383,9.3,17.3,.539,.551,7.9,9.7,.821,0.6,3.5,4.0,10.2,1.3,0.2,3.5,3.0,36.4,123,118,MVP-10CPOY-1ASNBA2,brunsja01
41,Jarrett Allen,26,CLE,C,82,82,2296,9.5,13.4,.706,0.0,0.1,.000,9.5,13.3,.712,.706,4.2,5.8,.718,4.5,12.2,16.7,3.3,1.6,1.5,2.0,2.7,23.1,142,108,,allenja01
42,Chris Paul,39,SAS,PG,82,82,2292,5.3,12.3,.427,3.0,7.8,.377,2.3,4.5,.514,.547,1.8,1.9,.924,0.7,5.5,6.2,12.8,2.2,0.5,2.7,3.2,15.2,125,118,,paulch01
43,Anfernee Simons,25,POR,SG,70,70,2292,10.2,23.9,.426,4.6,12.6,.363,5.6,11.3,.496,.521,3.7,4.1,.902,0.5,3.5,4.0,7.1,1.3,0.1,3.0,2.5,28.6,115,119,,simonan01
44,Giannis Antetokounmpo,30,MIL,PF,67,67,2289,16.8,27.9,.601,0.3,1.3,.222,16.5,26.5,.620,.607,9.2,14.9,.617,3.1,13.8,16.9,9.1,1.2,1.6,4.4,3.3,43.0,122,109,MVP-3DPOY-8ASNBA1,antetgi01
45,Malik Beasley,28,DET,SG,82,18,2283,9.7,22.6,.430,6.7,16.1,.416,3.0,6.4,.466,.579,2.0,2.9,.679,1.0,3.5,4.5,2.9,1.5,0.1,1.7,2.6,28.1,116,117,6MOY-2,beaslma01
46,Kentavious Caldwell-Pope,31,ORL,SG,77,77,2279,5.2,11.9,.439,2.5,7.2,.342,2.8,4.7,.589,.543,1.8,2.1,.863,0.7,3.0,3.7,3.0,2.2,0.7,1.4,3.0,14.7,115,112,,caldwke01
47,Nikola Vučević,34,CHI,C,73,72,2278,11.3,21.3,.530,2.6,6.6,.402,8.6,14.7,.587,.592,2.5,3.1,.805,3.6,11.4,15.1,5.2,1.2,1.1,2.4,3.3,27.6,122,113,,vucevni01
48,Payton Pritchard,27,BOS,PG,80,3,2271,9.0,19.1,.472,5.6,13.8,.407,3.4,5.3,.642,.620,1.6,1.9,.845,2.3,4.5,6.8,6.2,1.5,0.3,1.8,2.6,25.3,131,114,6MOY-1,pritcpa01
49,Kevin Durant,36,PHO,PF,62,62,2265,12.9,24.5,.527,3.5,8.1,.430,9.4,16.4,.574,.598,6.6,7.9,.839,0.5,7.7,8.2,5.7,1.1,1.7,4.1,2.3,36.0,117,119,AS,duranke01
50,Shaedon Sharpe,21,POR,SG,72,52,2252,10.8,23.8,.452,3.2,10.2,.311,7.6,13.6,.557,.519,4.1,5.2,.785,1.5,5.5,7.0,4.3,1.3,0.3,3.2,2.6,28.8,110,117,,sharpsh01
51,Stephen Curry,36,GSW,PG,70,70,2252,12.2,27.2,.448,6.7,16.9,.397,5.5,10.2,.534,.572,6.0,6.5,.933,0.9,5.8,6.7,9.1,1.7,0.6,4.3,2.1,37.1,120,113,MVP-9CPOY-5ASNBA2,curryst01
52,De'Aaron Fox,27,2TM,PG,62,62,2241,11.7,25.3,.463,2.6,8.3,.310,9.2,17.0,.538,.514,5.7,6.9,.827,1.2,5.3,6.5,8.5,2.0,0.5,3.8,3.6,31.7,113,117,,foxde01
53,Jalen Williams,23,OKC,SG,69,69,2237,12.1,25.1,.484,2.7,7.3,.365,9.5,17.8,.533,.537,5.1,6.4,.789,1.3,6.7,7.9,7.6,2.4,1.0,3.2,3.4,32.0,116,107,ASNBA3DEF2,willija06
54,Donovan Mitchell,28,CLE,SG,71,71,2232,12.6,28.4,.443,5.0,13.6,.368,7.6,14.8,.512,.531,6.4,7.8,.823,1.2,5.7,6.9,7.6,2.0,0.4,3.2,3.0,36.7,118,113,MVP-5CPOY-9ASNBA1,mitchdo01
55,Harrison Barnes,32,SAS,PF,82,82,2230,7.5,14.8,.508,3.4,7.8,.433,4.1,7.0,.591,.622,3.5,4.3,.809,2.1,4.6,6.7,2.9,0.8,0.3,1.1,1.6,21.9,132,122,,barneha02
56,Julius Randle,30,MIN,PF,69,69,2226,10.1,20.8,.485,2.4,7.0,.344,7.7,13.9,.555,.542,6.0,7.4,.806,3.2,7.6,10.8,7.2,1.0,0.4,4.3,3.9,28.5,117,113,,randlju01
57,Amen Thompson,22,HOU,SF,69,42,2225,8.5,15.2,.557,0.5,2.0,.275,7.9,13.3,.599,.575,3.7,5.4,.684,4.2,8.1,12.3,5.8,2.1,1.9,3.0,3.7,21.2,123,108,DPOY-5DEF1,thompam01
58,Jaren Jackson Jr.,25,MEM,C,74,74,2207,12.5,25.5,.488,3.1,8.2,.375,9.4,17.4,.541,.548,6.6,8.4,.781,1.9,6.9,8.8,3.1,1.9,2.4,3.2,5.4,34.6,115,111,DPOY-7ASDEF2,jacksja02
59,Desmond Bane,26,MEM,SG,69,68,2205,10.4,21.5,.484,3.5,8.8,.392,6.9,12.6,.548,.565,3.7,4.2,.894,1.3,7.5,8.8,7.8,1.7,0.6,3.6,3.5,28.0,119,113,,banede01
60,Naz Reid,25,MIN,C,80,17,2200,9.6,20.7,.462,3.9,10.4,.379,5.6,10.3,.544,.556,2.5,3.2,.776,2.1,8.7,10.8,4.1,1.3,1.6,2.4,4.2,25.5,115,110,6MOY-5,reidna01
61,Tyus Jones,28,PHO,PG,81,58,2174,7.0,15.5,.448,3.8,9.1,.414,3.2,6.4,.496,.570,1.2,1.3,.895,0.9,3.5,4.5,9.8,1.6,0.2,2.1,1.4,18.9,124,122,,jonesty01
62,Myles Turner,28,IND,C,72,72,2174,8.6,17.9,.481,3.4,8.7,.396,5.2,9.2,.561,.577,4.1,5.3,.773,2.0,8.4,10.4,2.5,1.2,3.2,2.7,4.0,24.8,113,112,,turnemy01
63,Evan Mobley,23,CLE,PF,71,71,2167,11.2,20.1,.557,1.9,5.1,.370,9.3,15.0,.621,.604,4.9,6.8,.725,3.6,11.0,14.6,5.0,1.4,2.5,3.2,3.1,29.2,124,108,MVP-10DPOY-1ASNBA2DEF1,mobleev01
64,Taurean Prince,30,MIL,SF,80,73,2166,5.2,11.5,.457,3.3,7.5,.439,2.0,4.0,.492,.600,0.9,1.1,.813,0.8,5.6,6.4,3.5,1.7,0.3,1.8,3.7,14.6,114,115,,princta02
65,Stephon Castle,20,SAS,SG,81,47,2162,9.5,22.1,.428,2.1,7.4,.285,7.3,14.6,.501,.476,5.6,7.7,.724,2.0,4.6,6.6,7.4,1.7,0.5,4.0,3.7,26.6,106,119,ROY-1,castlst01
66,Deni Avdija,24,POR,SF,72,54,2161,9.0,19.0,.476,2.8,7.7,.365,6.2,11.3,.552,.550,6.5,8.4,.780,2.5,9.3,11.7,6.3,1.6,0.8,4.4,3.8,27.4,116,113,,avdijde01
67,Jaylen Brown,28,BOS,SF,63,63,2158,12.0,26.0,.463,2.7,8.3,.324,9.3,17.7,.529,.515,5.7,7.5,.764,1.9,6.6,8.6,6.6,1.7,0.4,3.8,3.6,32.5,112,112,AS,brownja02
68,Tim Hardaway Jr.,32,DET,SG,77,77,2153,6.2,15.2,.406,3.8,10.2,.368,2.4,5.0,.484,.529,2.8,3.2,.855,0.4,3.7,4.1,2.7,0.8,0.2,1.1,2.1,18.9,117,118,,hardati02
69,Bennedict Mathurin,22,IND,SF,72,49,2149,8.7,19.1,.458,2.2,6.4,.340,6.6,12.6,.519,.516,6.2,7.4,.831,1.9,6.6,8.6,3.0,1.1,0.5,3.0,3.6,25.9,110,116,,mathube01
70,Spencer Dinwiddie,31,DAL,PG,79,30,2136,6.4,15.4,.416,2.5,7.4,.334,4.0,8.1,.492,.496,4.4,5.5,.802,0.4,4.3,4.7,7.9,1.6,0.4,2.3,2.7,19.7,116,119,,dinwisp01
71,Scottie Barnes,23,TOR,PF,65,65,2134,10.7,24.0,.446,1.7,6.3,.271,9.0,17.7,.508,.482,5.1,6.8,.755,2.5,8.9,11.3,8.5,2.1,1.4,4.2,2.5,28.2,107,112,,barnesc01
72,Max Christie,21,2TM,SG,78,36,2127,5.8,13.5,.427,2.6,7.2,.366,3.1,6.3,.496,.525,3.0,3.5,.855,0.9,5.0,5.9,3.4,1.5,0.7,2.0,2.6,17.2,111,117,,chrisma02
73,Josh Giddey,22,CHI,PG,70,69,2117,8.2,17.6,.465,2.3,6.1,.378,5.9,11.5,.512,.531,3.9,4.9,.781,2.8,9.7,12.5,11.1,1.9,1.0,4.5,2.7,22.5,115,113,,giddejo01
74,Fred VanVleet,30,HOU,PG,60,60,2111,6.6,17.5,.378,3.7,10.6,.345,3.0,6.9,.430,.483,2.6,3.2,.810,0.7,4.4,5.1,7.7,2.2,0.6,2.0,3.2,19.5,117,112,,vanvlfr01
75,Keyonte George,21,UTA,PG,67,35,2109,8.2,20.9,.391,4.0,11.5,.343,4.2,9.4,.449,.485,5.3,6.5,.818,0.6,5.2,5.8,8.6,1.0,0.2,4.2,2.5,25.6,109,123,,georgke01
76,Dennis Schröder,31,3TM,PG,75,49,2105,7.8,19.2,.406,2.9,8.6,.342,4.9,10.6,.458,.483,4.2,5.0,.838,0.6,4.0,4.6,9.4,1.5,0.3,3.3,4.2,22.7,111,117,,schrode01
77,Damian Lillard,34,MIL,PG,58,58,2093,10.3,22.9,.448,4.6,12.1,.376,5.7,10.8,.528,.547,8.4,9.1,.921,0.7,5.6,6.3,9.5,1.6,0.2,3.7,2.2,33.4,122,115,AS,lillada01
78,Russell Westbrook,36,DEN,PG,75,36,2092,8.6,19.1,.449,2.2,6.7,.323,6.4,12.4,.517,.505,3.5,5.4,.661,2.3,6.2,8.5,10.5,2.4,0.9,5.6,4.3,22.8,105,115,6MOY-7,westbru01
79,Kelly Oubre Jr.,29,PHI,SF,60,57,2078,8.3,17.6,.470,1.7,5.7,.293,6.6,11.8,.555,.518,3.3,4.4,.751,2.3,6.4,8.7,2.6,2.2,0.7,1.9,4.3,21.5,111,118,,oubreke01
80,Nickeil Alexander-Walker,26,MIN,SG,82,10,2073,6.4,14.7,.438,3.4,8.8,.381,3.1,5.9,.524,.553,2.2,2.8,.780,1.3,5.0,6.3,5.3,1.2,0.8,2.4,3.3,18.4,116,114,6MOY-6,alexani01
81,Luguentz Dort,25,OKC,SF,71,71,2073,6.0,13.7,.435,3.9,9.6,.412,2.0,4.2,.489,.578,0.8,1.1,.717,2.1,4.7,6.8,2.7,1.8,0.9,1.2,4.8,16.6,120,110,DPOY-4DEF1,dortlu01
82,Onyeka Okongwu,24,ATL,C,74,40,2064,8.8,15.5,.567,1.1,3.4,.324,7.7,12.1,.634,.602,3.7,4.9,.759,5.0,10.0,15.0,3.8,1.6,1.5,2.0,4.4,22.4,129,114,,okongon01
83,Malik Monk,26,SAC,SG,65,45,2054,9.8,22.4,.439,3.3,10.2,.325,6.5,12.2,.534,.513,3.7,4.2,.865,0.7,5.1,5.8,8.6,1.5,0.9,3.8,3.8,26.6,110,117,,monkma01
84,Jaylen Wells,21,MEM,SG,79,74,2043,6.5,15.4,.425,3.1,8.9,.352,3.4,6.5,.525,.527,2.5,3.1,.822,2.0,4.1,6.1,3.1,1.0,0.2,1.6,3.3,18.7,117,118,ROY-3,wellsja01
85,Jalen Duren,21,DET,C,78,78,2034,8.9,12.9,.692,0.0,0.0,,8.9,12.9,.692,.692,3.8,5.7,.669,6.5,12.5,19.1,4.9,1.3,2.1,3.2,5.9,21.7,134,109,,durenja01
86,Jalen Wilson,24,BRK,PF,79,22,2031,6.0,15.2,.397,3.0,8.9,.337,3.0,6.3,.481,.495,3.3,4.0,.818,1.8,4.8,6.6,3.6,1.0,0.1,1.9,4.0,18.4,110,119,,wilsoja03
87,Miles Bridges,26,CHO,PF,64,64,2029,11.4,26.4,.431,3.4,10.9,.313,8.0,15.5,.513,.495,5.4,6.2,.870,1.7,9.9,11.7,6.0,1.1,1.1,3.3,2.3,31.5,110,116,,bridgmi02
88,Davion Mitchell,26,2TM,PG,74,37,2027,5.4,11.5,.468,2.0,5.1,.398,3.4,6.4,.525,.557,1.4,2.0,.690,0.8,3.2,4.0,8.8,1.7,0.4,3.1,4.5,14.2,113,117,,mitchda01
89,Franz Wagner,23,ORL,SF,60,60,2023,13.3,28.7,.463,2.6,8.7,.295,10.7,20.0,.535,.507,6.7,7.7,.871,1.4,7.1,8.4,7.0,1.9,0.5,3.4,3.6,35.8,113,110,,wagnefr01
90,Quentin Grimes,24,2TM,SG,75,37,2013,9.3,20.0,.467,3.9,10.2,.385,5.4,9.7,.552,.565,3.9,5.2,.757,1.4,6.4,7.9,5.5,1.8,0.5,3.4,3.3,26.5,113,118,,grimequ01
91,Jordan Poole,25,WAS,SG,68,68,2001,10.9,25.1,.432,5.6,14.8,.378,5.3,10.3,.510,.544,5.8,6.5,.883,0.7,4.1,4.8,7.2,2.0,0.6,4.9,4.8,33.1,109,120,,poolejo01
92,Draymond Green,34,GSW,PF,68,66,1983,5.3,12.5,.424,2.0,6.0,.325,3.3,6.5,.517,.503,2.5,3.6,.687,1.8,8.3,10.2,9.4,2.4,1.7,4.3,5.4,15.0,107,109,DPOY-3DEF1,greendr01
93,Devin Vassell,24,SAS,SG,64,53,1983,9.6,21.7,.443,3.9,10.5,.368,5.8,11.2,.513,.532,2.3,2.9,.792,0.8,5.4,6.2,4.5,2.0,0.8,2.1,2.6,25.4,109,118,,vassede01
94,Klay Thompson,34,DAL,SF,72,72,1965,8.9,21.6,.412,5.3,13.6,.391,3.6,8.0,.448,.535,1.6,1.8,.905,1.1,5.0,6.1,3.6,1.2,0.7,2.2,2.0,24.7,108,119,,thompkl01
95,Tyrese Maxey,24,PHI,PG,52,52,1960,12.0,27.4,.437,4.0,12.0,.337,7.9,15.4,.515,.511,6.4,7.3,.879,0.4,4.0,4.4,8.0,2.3,0.5,3.1,2.9,34.4,114,119,CPOY-10,maxeyty01
96,Norman Powell,31,LAC,SG,60,60,1958,11.5,23.8,.484,4.5,10.8,.418,7.0,13.0,.538,.578,5.4,6.7,.804,0.5,4.2,4.8,3.1,1.8,0.2,2.7,2.9,32.8,116,113,,powelno01
97,Yves Missi,20,NOP,C,73,67,1956,6.7,12.2,.547,0.0,0.0,.000,6.7,12.2,.548,.547,3.1,5.1,.623,6.3,8.6,14.9,2.5,0.9,2.4,2.0,3.6,16.5,120,119,,missiyv01
98,Keon Ellis,25,SAC,SG,80,28,1948,5.7,11.6,.489,3.5,8.1,.433,2.2,3.6,.615,.639,1.8,2.2,.849,1.5,3.8,5.3,3.0,3.0,1.6,1.8,4.4,16.7,125,114,,elliske01
99,Bilal Coulibaly,20,WAS,SF,59,59,1948,6.4,15.2,.421,1.5,5.5,.281,4.9,9.8,.500,.472,3.4,4.5,.746,2.2,5.0,7.2,4.9,1.9,1.0,3.1,3.4,17.8,103,120,,coulibi01
100,Kyle Kuzma,29,2TM,PF,65,62,1936,9.2,21.0,.436,2.4,7.8,.307,6.8,13.3,.512,.493,3.2,5.0,.634,1.3,7.8,9.2,3.8,0.9,0.5,3.6,2.9,23.9,96,118,,kuzmaky01
101,Julian Champagnie,23,SAS,SF,82,29,1932,6.9,16.6,.415,4.5,12.0,.371,2.5,4.6,.530,.549,2.1,2.4,.904,1.7,6.3,8.0,2.8,1.5,0.9,1.9,2.9,20.4,113,118,,champju02
102,Keon Johnson,22,BRK,SG,79,56,1925,7.8,20.1,.389,3.3,10.4,.314,4.6,9.8,.468,.470,2.8,3.6,.770,1.6,6.1,7.7,4.5,2.1,0.8,3.0,5.4,21.7,100,115,,johnske07
103,Naji Marshall,27,DAL,SF,69,31,1919,9.1,17.9,.508,1.5,5.5,.275,7.6,12.5,.611,.551,3.3,4.0,.813,1.9,6.4,8.3,5.2,1.8,0.3,2.8,2.7,23.0,115,117,,marshna01
104,Jrue Holiday,34,BOS,PG,62,62,1896,6.7,15.2,.443,2.9,8.1,.353,3.9,7.1,.547,.538,1.9,2.0,.909,2.0,5.0,7.0,6.3,1.7,0.7,2.0,2.7,18.1,121,113,,holidjr01
105,Guerschon Yabusele,29,PHI,C,70,43,1895,7.3,14.6,.501,2.7,7.1,.380,4.6,7.5,.616,.593,2.6,3.6,.725,3.5,6.8,10.3,3.9,1.5,0.6,2.3,4.3,20.0,122,119,,yabusgu01
106,Gary Trent Jr.,26,MIL,SG,74,9,1893,7.2,16.8,.431,4.6,11.1,.416,2.6,5.7,.460,.568,2.0,2.3,.848,0.5,3.8,4.3,2.2,1.8,0.1,1.1,3.2,21.0,115,116,,trentga02
107,Anthony Black,21,ORL,PG,78,10,1887,6.9,16.4,.423,1.6,5.2,.318,5.3,11.2,.471,.473,4.0,5.2,.761,1.4,4.7,6.1,6.4,2.3,1.3,3.7,4.4,19.5,103,110,,blackan01
108,Josh Green,24,CHO,SG,68,67,1887,4.7,11.0,.428,2.5,6.5,.391,2.2,4.5,.480,.543,1.3,1.9,.681,1.5,3.0,4.5,2.8,1.9,0.4,1.8,4.3,13.2,109,119,,greenjo02
109,Nic Claxton,25,BRK,C,70,62,1882,8.5,15.0,.563,0.1,0.6,.238,8.3,14.5,.576,.568,2.1,4.1,.513,4.2,9.5,13.6,4.2,1.6,2.6,2.3,4.0,19.2,115,112,,claxtni01
110,Andrew Nembhard,25,IND,SG,65,65,1881,6.3,13.8,.458,1.3,4.5,.291,5.0,9.3,.538,.506,2.8,3.5,.794,0.9,4.7,5.5,8.3,2.0,0.3,2.9,3.8,16.7,111,116,,nembhan01
111,Cason Wallace,21,OKC,SG,68,43,1876,5.9,12.5,.474,1.9,5.3,.356,4.0,7.2,.562,.550,0.8,0.9,.811,1.8,4.0,5.9,4.4,3.1,0.9,1.5,3.7,14.5,118,108,,wallaca01
